Cuisine,Location,Price_Level,Wait_Time,Ambiance,Rating
Chinese,Suburban,Cheap,Medium,Trendy,Average
Mexican,Beachfront,Moderate,Medium,Trendy,Average
Mexican,Suburban,Expensive,Short,Trendy,Average
Chinese,Suburban,Cheap,Medium,Casual,Good
Indian,Beachfront,Expensive,Medium,Fine_Dining,Average
Mexican,Beachfront,Cheap,Short,Trendy,Excellent
Italian,Beachfront,Cheap,Long,Trendy,Average
Italian,Downtown,Cheap,Short,Casual,Good
Japanese,Mall,Moderate,Medium,Trendy,Average
Mexican,Downtown,Moderate,Short,Casual,Good
Indian,Mall,Expensive,Long,Fine_Dining,Poor
Chinese,Downtown,Cheap,Short,Casual,Good
Chinese,Mall,Cheap,Medium,Casual,Average
Indian,Downtown,Moderate,Long,Casual,Average
American,Beachfront,Cheap,Medium,Casual,Average
Japanese,Suburban,Moderate,Long,Fine_Dining,Average
Chinese,Downtown,Cheap,Long,Fine_Dining,Average
Mexican,Mall,Expensive,Short,Trendy,Average
Japanese,Beachfront,Cheap,Short,Fine_Dining,Excellent
Mexican,Downtown,Cheap,Medium,Fine_Dining,Average
Italian,Downtown,Luxury,Short,Trendy,Average
Japanese,Beachfront,Moderate,Short,Fine_Dining,Excellent
Chinese,Downtown,Cheap,Long,Casual,Average
Japanese,Suburban,Cheap,Short,Casual,Good
Japanese,Downtown,Luxury,Long,Trendy,Poor
Japanese,Suburban,Luxury,Long,Trendy,Poor
American,Suburban,Moderate,Long,Trendy,Average
Japanese,Beachfront,Luxury,Medium,Casual,Average
Mexican,Downtown,Expensive,Medium,Fine_Dining,Average
Italian,Beachfront,Luxury,Medium,Casual,Average
Indian,Downtown,Expensive,Long,Trendy,Poor
Japanese,Downtown,Moderate,Medium,Fine_Dining,Average
Chinese,Mall,Moderate,Medium,Fine_Dining,Poor
Japanese,Downtown,Moderate,Short,Casual,Good
Chinese,Beachfront,Moderate,Medium,Trendy,Average
Mexican,Suburban,Moderate,Medium,Casual,Good
Chinese,Downtown,Expensive,Long,Fine_Dining,Poor
Indian,Mall,Expensive,Long,Casual,Poor
Italian,Beachfront,Moderate,Long,Casual,Average
Chinese,Downtown,Luxury,Long,Trendy,Poor
Chinese,Beachfront,Cheap,Long,Trendy,Average
Italian,Mall,Moderate,Long,Fine_Dining,Poor
Indian,Mall,Luxury,Medium,Casual,Average
Japanese,Beachfront,Cheap,Long,Casual,Average
Chinese,Downtown,Moderate,Long,Casual,Average
Italian,Suburban,Moderate,Short,Fine_Dining,Good
Mexican,Mall,Expensive,Medium,Fine_Dining,Poor
Italian,Downtown,Cheap,Medium,Trendy,Average
Mexican,Downtown,Cheap,Medium,Trendy,Average
Indian,Suburban,Luxury,Long,Trendy,Poor
Japanese,Mall,Expensive,Long,Casual,Poor
Italian,Mall,Expensive,Long,Casual,Poor
American,Downtown,Expensive,Short,Trendy,Average
Chinese,Downtown,Expensive,Long,Casual,Poor
Indian,Suburban,Cheap,Short,Trendy,Good
Italian,Suburban,Cheap,Medium,Fine_Dining,Average
Chinese,Mall,Moderate,Long,Trendy,Average
Italian,Beachfront,Moderate,Short,Fine_Dining,Excellent
Mexican,Mall,Expensive,Short,Casual,Average
Italian,Downtown,Expensive,Long,Trendy,Poor
American,Mall,Expensive,Medium,Casual,Average
Italian,Beachfront,Moderate,Medium,Fine_Dining,Average
Italian,Suburban,Luxury,Medium,Fine_Dining,Excellent
American,Beachfront,Luxury,Short,Fine_Dining,Excellent
Indian,Beachfront,Moderate,Short,Casual,Excellent
Italian,Beachfront,Moderate,Short,Casual,Excellent
American,Suburban,Moderate,Short,Casual,Good
Chinese,Beachfront,Moderate,Medium,Casual,Average
Mexican,Beachfront,Moderate,Long,Fine_Dining,Average
Mexican,Beachfront,Moderate,Short,Fine_Dining,Excellent
Italian,Downtown,Expensive,Short,Trendy,Average
Indian,Beachfront,Expensive,Medium,Trendy,Average
Indian,Suburban,Expensive,Long,Casual,Poor
Chinese,Beachfront,Expensive,Long,Fine_Dining,Poor
Italian,Beachfront,Moderate,Medium,Fine_Dining,Average
Mexican,Suburban,Luxury,Medium,Fine_Dining,Average
Indian,Beachfront,Cheap,Long,Trendy,Average
Italian,Suburban,Moderate,Short,Trendy,Good
Indian,Beachfront,Cheap,Long,Fine_Dining,Average
American,Suburban,Luxury,Medium,Fine_Dining,Average
Indian,Beachfront,Expensive,Short,Fine_Dining,Excellent
Mexican,Beachfront,Luxury,Short,Trendy,Excellent
Japanese,Downtown,Moderate,Medium,Fine_Dining,Average
Chinese,Downtown,Expensive,Medium,Fine_Dining,Average
Chinese,Beachfront,Moderate,Medium,Casual,Average
Mexican,Beachfront,Expensive,Long,Casual,Poor
Indian,Mall,Cheap,Long,Trendy,Average
Italian,Suburban,Cheap,Short,Fine_Dining,Good
Indian,Mall,Cheap,Medium,Fine_Dining,Poor
Mexican,Downtown,Luxury,Short,Casual,Average
Chinese,Downtown,Moderate,Short,Trendy,Good
Indian,Downtown,Luxury,Short,Casual,Average
Chinese,Downtown,Cheap,Short,Casual,Good
Italian,Beachfront,Moderate,Medium,Casual,Average
Chinese,Downtown,Cheap,Short,Casual,Good
Chinese,Beachfront,Luxury,Medium,Fine_Dining,Average
Japanese,Beachfront,Luxury,Medium,Fine_Dining,Excellent
Japanese,Downtown,Luxury,Long,Casual,Poor
American,Downtown,Cheap,Medium,Trendy,Average
Japanese,Suburban,Moderate,Long,Trendy,Average
Chinese,Mall,Moderate,Medium,Trendy,Average
Mexican,Downtown,Cheap,Medium,Trendy,Average
Chinese,Suburban,Moderate,Medium,Casual,Good
Mexican,Suburban,Cheap,Long,Fine_Dining,Average
Mexican,Mall,Moderate,Long,Trendy,Average
Japanese,Beachfront,Expensive,Short,Casual,Excellent
Indian,Downtown,Expensive,Long,Trendy,Poor
Italian,Mall,Luxury,Long,Trendy,Poor
Japanese,Downtown,Expensive,Long,Casual,Poor
Japanese,Suburban,Expensive,Long,Fine_Dining,Excellent
Indian,Suburban,Expensive,Short,Fine_Dining,Average
Italian,Beachfront,Cheap,Long,Casual,Average
Chinese,Suburban,Expensive,Medium,Fine_Dining,Average
American,Suburban,Expensive,Medium,Casual,Good
American,Mall,Luxury,Long,Casual,Poor
Chinese,Downtown,Expensive,Long,Casual,Poor
Japanese,Downtown,Expensive,Medium,Fine_Dining,Excellent
Italian,Mall,Moderate,Medium,Casual,Average
Japanese,Beachfront,Luxury,Short,Trendy,Excellent
Mexican,Downtown,Luxury,Medium,Fine_Dining,Average
Japanese,Suburban,Luxury,Medium,Fine_Dining,Excellent
Japanese,Downtown,Luxury,Long,Fine_Dining,Excellent
Chinese,Suburban,Luxury,Medium,Fine_Dining,Average
Chinese,Beachfront,Luxury,Short,Trendy,Excellent
Chinese,Mall,Cheap,Medium,Fine_Dining,Poor
American,Downtown,Expensive,Long,Fine_Dining,Poor
Mexican,Mall,Luxury,Long,Casual,Poor
Chinese,Downtown,Expensive,Medium,Fine_Dining,Average
Italian,Suburban,Expensive,Long,Trendy,Poor
American,Mall,Cheap,Short,Trendy,Good
Indian,Downtown,Luxury,Short,Trendy,Average
Italian,Suburban,Moderate,Medium,Trendy,Average
Italian,Mall,Cheap,Medium,Fine_Dining,Poor
Chinese,Mall,Moderate,Medium,Fine_Dining,Poor
Indian,Downtown,Expensive,Long,Trendy,Poor
Indian,Downtown,Expensive,Short,Trendy,Average
American,Downtown,Cheap,Short,Fine_Dining,Good
Indian,Suburban,Cheap,Long,Trendy,Average
Mexican,Downtown,Moderate,Short,Casual,Good
Chinese,Mall,Luxury,Medium,Trendy,Average
Indian,Mall,Moderate,Medium,Trendy,Average
American,Downtown,Cheap,Medium,Casual,Average
Mexican,Downtown,Moderate,Short,Casual,Good
Japanese,Beachfront,Cheap,Medium,Fine_Dining,Average
Japanese,Mall,Moderate,Long,Fine_Dining,Poor
Mexican,Suburban,Cheap,Long,Casual,Good
American,Beachfront,Cheap,Short,Casual,Excellent
Mexican,Downtown,Cheap,Long,Fine_Dining,Average
Chinese,Downtown,Luxury,Long,Trendy,Poor
Chinese,Mall,Moderate,Short,Casual,Good